history_id,seed,history_number,n_records,scenario,query_number,query_id,target_evidence_id,query_sha256,method,routing_vectors_scored,route_ms,total_search_ms,evidence_recalled,oracle_reader_correct,predicted_evidence_id,records_read,raw_vectors_scored,leaf_blocks_read,read_score_ms
n256_seed17_history0,17,0,256,random_keys,11,n256_seed17_history0_q11,107,e42d2839b6ac7b927bfbba5a1d83fb2dd33ca33ad60ca46630b50b2050f65b89,flat_1,16,0.001875,0.00575,1,1,107,16,16,1,0.003875
n256_seed17_history0,17,0,256,random_keys,11,n256_seed17_history0_q11,107,e42d2839b6ac7b927bfbba5a1d83fb2dd33ca33ad60ca46630b50b2050f65b89,flat_2,16,0.0015,0.0055,1,1,107,32,32,2,0.004
n256_seed17_history0,17,0,256,random_keys,11,n256_seed17_history0_q11,107,e42d2839b6ac7b927bfbba5a1d83fb2dd33ca33ad60ca46630b50b2050f65b89,flat_4,16,0.001334,0.00675,1,1,107,64,64,4,0.005416
n256_seed17_history0,17,0,256,random_keys,11,n256_seed17_history0_q11,107,e42d2839b6ac7b927bfbba5a1d83fb2dd33ca33ad60ca46630b50b2050f65b89,tree_beam_1,8,0.006625,0.010291999999999999,1,1,107,16,16,1,0.003667
n256_seed17_history0,17,0,256,random_keys,11,n256_seed17_history0_q11,107,e42d2839b6ac7b927bfbba5a1d83fb2dd33ca33ad60ca46630b50b2050f65b89,tree_beam_2,12,0.013333,0.017291,1,1,107,32,32,2,0.003958
n256_seed17_history0,17,0,256,random_keys,11,n256_seed17_history0_q11,107,e42d2839b6ac7b927bfbba5a1d83fb2dd33ca33ad60ca46630b50b2050f65b89,tree_beam_4,20,0.006459,0.011876000000000001,1,1,107,64,64,4,0.005417
n256_seed17_history0,17,0,256,random_keys,12,n256_seed17_history0_q12,230,9f339590f2f96b14edfd209d7fa68a327b4f71e26ed47116f281f417e5f30bdc,raw_full_scan,0,0.00025,0.008083,1,1,230,256,256,16,0.007833
n256_seed17_history0,17,0,256,random_keys,12,n256_seed17_history0_q12,230,9f339590f2f96b14edfd209d7fa68a327b4f71e26ed47116f281f417e5f30bdc,flat_1,16,0.00175,0.005542,0,0,172,16,16,1,0.003792
n256_seed17_history0,17,0,256,random_keys,12,n256_seed17_history0_q12,230,9f339590f2f96b14edfd209d7fa68a327b4f71e26ed47116f281f417e5f30bdc,flat_2,16,0.001417,0.0054589999999999994,0,0,172,32,32,2,0.004042
n256_seed17_history0,17,0,256,random_keys,12,n256_seed17_history0_q12,230,9f339590f2f96b14edfd209d7fa68a327b4f71e26ed47116f281f417e5f30bdc,flat_4,16,0.001417,0.006833,0,0,172,64,64,4,0.005416
